Name,Hourly Rate,Charge Outrate,Project Code
Debra B. Fox,£35.37,£88.97,GEJ27UOM3ZN
Jade L. Hodges,£49.49,£38.21,LIJ77GWN7JF
Alika Y. Rollins,£5.08,£52.26,CQF85KGI5KL
Dominique C. Bridges,£25.32,£36.62,DCM66NYR2JX
Ariana O. Lindsay,£18.60,£12.81,VOA67AJA3TQ
Jacob I. Burris,£49.22,£76.24,VQE37RSC9GS
Alexander B. Best,£48.45,£10.31,XVL13FRU4FZ
Jael P. Waters,£21.38,£73.53,SPT67GAR0BP
Harlan P. Kirby,£15.98,£15.27,ETL62ODU8VI
Alika E. Frank,£3.87,£51.75,OYL81FDL6RQ
Ferdinand W. Collins,£23.39,£55.91,ZKT62LPI4DI
Regina L. Martinez,£25.45,£6.78,IUV97NYG9VL
Yuli H. Cantu,£5.13,£42.68,OBQ19VRO8LJ
Steven X. Dotson,£30.17,£32.03,KSI86LIZ2JT
Vance Z. Porter,£48.87,£13.25,LJV98AMO4TW
Hayley M. Ayers,£20.20,£4.04,JGY60JMV6IG
Hasad V. Allison,£39.21,£71.18,TUP16KWQ6CH
Susan W. Delacruz,£40.38,£3.75,GNS66GIB6TG
Sybil H. Lowe,£4.27,£62.22,ENQ94AYF7GV
Finn M. Pugh,£47.99,£83.21,CUE40RLT1XF
Colette V. Rose,£18.86,£66.44,AZC41YBZ1SH
Mannix I. Wilcox,£33.92,£75.67,TCN13CRB0KY
Mark C. Travis,£8.75,£47.22,CJT88ANP5TV
Aubrey Q. Sexton,£26.73,£77.56,KDA24FUX3ST
Cherokee F. Glenn,£40.26,£85.92,FWB08IUA4AH
Kenyon F. Gonzalez,£1.77,£64.92,UYA40OZM6SF
Regan G. Blankenship,£46.08,£26.85,RHW02BYT3LQ
Eugenia Q. Carroll,£3.86,£59.60,WQJ86JVY5VW
Ignatius J. Padilla,£39.21,£87.05,ZOI58TLE8VT
Troy N. Bray,£20.60,£27.50,CWD80UKE6KC
Hermione O. Olson,£1.05,£38.36,SDL56NLO7CL
Emily K. Massey,£22.56,£29.27,XKE14HDH8TV
Jonah Z. Frazier,£25.09,£55.24,RER89JTC4RR
Simon Y. Weaver,£3.59,£32.01,UTK96QBU3FB
Madaline T. Benson,£29.51,£51.05,AZV58BCE9EJ
Zahir R. Douglas,£4.48,£99.71,VNT95YSB4WQ
Laura Y. Good,£37.57,£15.87,XHR52KSS7FN
Maxine T. Moore,£12.80,£11.46,TEK46ZSM8SP
Amery D. Terrell,£33.86,£62.05,NWY14CES3LH
Griffith I. Harrison,£1.60,£37.00,NBU23RMI9OF
Emmanuel X. Mathews,£27.61,£24.89,QJB83GWR5AK
Hilda W. Rocha,£44.21,£69.60,GNA68DYF5LV
Ivory B. Gross,£8.86,£31.53,HIK37FPN4PY
Noelani J. Guerrero,£17.11,£26.74,AIE13MKV9JP
Kathleen X. Ellison,£8.26,£82.94,RWR92LRA0LW
Madison Y. Leblanc,£30.22,£26.78,AEF87ARE9PN
Lareina Y. Walsh,£41.23,£20.70,QHZ11TIV7YL
Gail R. Palmer,£11.11,£93.25,LRD69IOC3DD
Tucker L. Britt,£19.81,£63.71,WLR23XTW6KP
Octavia V. Foley,£7.51,£20.56,LAL92FHE9CD
Kaitlin Q. Rowland,£48.60,£35.90,OMD02ECG4XM
Cedric J. Wade,£37.17,£78.65,JCG90QUX6FY
